name,description,servings,prep_time,cook_time,ingredients,method,notes,created_by,updated_at,updated_by,category,tag,source
Chicken Curry,Spicy and flavorful Indian chicken curry.,4,15,30,"- 1 tbsp vegetable oil\n- 1 large onion\n- 2 tbsp curry paste\n- 1 tbsp tomato purée\n- 400g can chopped tomatoes\n- 400g can coconut milk\n- 4 boneless chicken breasts, chopped","1. Heat the oil in a large pan, then add the onion and cook for 5 mins until softened.\n2. Add the curry paste and tomato purée, stir well and cook for 2 mins.\n3. Tip in the tomatoes and coconut milk, and bring to the boil.\n4. Add the chicken pieces, cover the pan and simmer for 20 mins or until the chicken is cooked through and tender.\n5. Serve with rice and naan bread.","For a spicier version, add a finely chopped red chilli when cooking the onions.",1,,1,Indian,#curry,http://example.com/chicken-curry
Vegetable Stir Fry,Quick and easy vegetable stir fry.,2,10,15,"- 1 tbsp olive oil\n- 1 red bell pepper, sliced\n- 1 yellow bell pepper, sliced\n- 1 green bell pepper, sliced\n- 1 large carrot, thinly sliced\n- 1 zucchini, sliced\n- 2 cloves garlic, minced\n- 2 tbsp soy sauce\n- 1 tbsp oyster sauce\n- 1 tsp cornstarch mixed with 1 tbsp water","1. Heat the oil in a large wok or frying pan over medium-high heat.\n2. Add the garlic and stir-fry for about 30 seconds.\n3. Add all the vegetables and stir-fry for about 5 minutes or until tender-crisp.\n4. Add the soy sauce and oyster sauce, and stir well to combine.\n5. Pour in the cornstarch mixture and cook for another 1-2 minutes, until the sauce has thickened.\n6. Serve hot, over steamed rice or noodles.","Feel free to add tofu or chicken for extra protein.",1,,1,Asian,#vegetarian,http://example.com/vegetable-stir-fry
Classic Pancakes,Fluffy and light classic pancakes.,4,5,15,"- 1 cup all-purpose flour\n- 2 tbsp sugar\n- 1 tsp baking powder\n- 1/2 tsp baking soda\n- 1/4 tsp salt\n- 1 cup buttermilk\n- 1/2 cup milk\n- 1 large egg\n- 2 tbsp unsalted butter, melted","1. In a large bowl, whisk together the flour, sugar, baking powder, baking soda, and salt.\n2. In another bowl, whisk together the buttermilk, milk, egg, and melted butter.\n3. Pour the wet ingredients into the dry ingredients and stir until just combined.\n4. Heat a non-stick skillet over medium heat and lightly grease with butter or oil.\n5. Pour 1/4 cup of batter onto the skillet for each pancake and cook until bubbles form on the surface, then flip and cook until golden brown on the other side.\n6. Serve warm with maple syrup and your favorite toppings.","For fluffier pancakes, let the batter sit for 5 minutes before cooking.",1,,1,Breakfast,#pancakes,http://example.com/classic-pancakes
Chocolate Chip Cookies,Chewy and delicious chocolate chip cookies.,24,15,10,"- 1 cup unsalted butter, melted\n- 1 cup brown sugar\n- 1/2 cup white sugar\n- 2 large eggs\n- 1 tsp vanilla extract\n- 3 cups all-purpose flour\n- 1 tsp baking soda\n- 1/2 tsp baking powder\n- 1/2 tsp salt\n- 2 cups chocolate chips","1. Preheat the oven to 375°F (190°C).\n2. In a large bowl, mix together the melted butter, brown sugar, and white sugar until well blended.\n3. Beat in the eggs and vanilla until light and creamy.\n4. Combine the flour, baking soda, baking powder, and salt; gradually stir into the butter mixture.\n5. Fold in the chocolate chips.\n6. Drop by large spoonfuls onto ungreased baking sheets.\n7. Bake for about 10 minutes, or until edges are nicely browned.\n8. Let cool on the baking sheets for a few minutes before transferring to wire racks to cool completely.","For a chewy texture, slightly underbake the cookies.",1,,1,Dessert,#cookies,http://example.com/chocolate-chip-cookies
Beef Tacos,Simple and tasty beef tacos.,4,20,15,"- 500g ground beef\n- 1 onion, finely chopped\n- 2 garlic cloves, minced\n- 1 tsp ground cumin\n- 1 tsp paprika\n- 1 tsp chili powder\n- Salt and pepper to taste\n- Taco shells\n- Toppings of choice (lettuce, tomato, cheese, sour cream)","1. In a large skillet, cook the ground beef over medium heat until browned.\n2. Add the onion and garlic, and cook until softened.\n3. Stir in the cumin, paprika, chili powder, salt, and pepper.\n4. Cook for an additional 5 minutes.\n5. Serve in taco shells with your favorite toppings.","For a twist, try using ground turkey or chicken instead of beef.",1,,1,Mexican,#tacos,http://example.com/beef-tacos
Margherita Pizza,Classic Italian margherita pizza with fresh mozzarella and basil.,2,15,10,"- 1 pizza dough\n- 1/2 cup tomato sauce\n- 1 cup fresh mozzarella, sliced\n- 1/4 cup fresh basil leaves\n- 2 tbsp olive oil\n- Salt to taste","1. Preheat your oven to 475°F (245°C).\n2. Roll out the pizza dough on a floured surface.\n3. Spread the tomato sauce over the dough.\n4. Arrange the mozzarella slices on top.\n5. Bake in the preheated oven for 10 minutes or until the crust is golden and the cheese is bubbly.\n6. Remove from the oven and sprinkle with fresh basil leaves.\n7. Drizzle with olive oil and season with salt.\n8. Slice and serve.","For a crispier crust, bake the pizza on a preheated pizza stone.",1,,1,Italian,#pizza,http://example.com/margherita-pizza
Butter Chicken,Rich and creamy Indian butter chicken.,4,20,30,"- 1 kg chicken thighs, boneless and skinless\n- 1 cup plain yogurt\n- 2 tbsp lemon juice\n- 1 tbsp ground cumin\n- 1 tbsp garam masala\n- 1 tbsp turmeric\n- 1 tbsp chili powder\n- 2 tbsp vegetable oil\n- 1 large onion, finely chopped\n- 3 garlic cloves, minced\n- 1 tbsp fresh ginger, grated\n- 1 can (400g) crushed tomatoes\n- 1 cup heavy cream\n- 2 tbsp butter","1. In a large bowl, combine the yogurt, lemon juice, cumin, garam masala, turmeric, and chili powder. Add the chicken and coat well. Marinate for at least 30 minutes.\n2. Heat the oil in a large pan over medium heat. Add the onion, garlic, and ginger and cook until softened.\n3. Add the marinated chicken and cook until browned.\n4. Stir in the crushed tomatoes and bring to a boil.\n5. Reduce the heat and simmer for 20 minutes.\n6. Stir in the cream and butter.\n7. Cook for another 10 minutes. Serve with rice and naan.","For a richer flavor, marinate the chicken overnight.",1,,1,Indian,#butterchicken,http://example.com/butter-chicken
Tom Yum Soup,Spicy and sour Thai soup with shrimp.,4,15,15,"- 500g shrimp, peeled and deveined\n- 1 liter chicken broth\n- 1 stalk lemongrass, sliced\n- 3 kaffir lime leaves, torn\n- 2 red chili peppers, sliced\n- 200g mushrooms, sliced\n- 1 tomato, chopped\n- 2 tbsp fish sauce\n- 1 tbsp lime juice\n- Fresh cilantro for garnish","1. In a large pot, bring the chicken broth to a boil.\n2. Add the lemongrass, lime leaves, and chili peppers, and simmer for 5 minutes.\n3. Add the mushrooms, tomato, and shrimp, and cook until the shrimp are pink and opaque.\n4. Stir in the fish sauce and lime juice.\n5. Garnish with fresh cilantro and serve.","Adjust the amount of chili peppers to your spice preference.",1,,1,Soup,#tomyum,http://example.com/tom-yum-soup
Falafel Wrap,Healthy and flavorful falafel wraps.,4,20,10,"- 1 can chickpeas, drained\n- 1 small onion, chopped\n- 2 cloves garlic, minced\n- 1 tsp ground cumin\n- 1 tsp ground coriander\n- 1/2 tsp baking powder\n- 2 tbsp flour\n- Salt and pepper to taste\n- 4 pita breads\n- 1 cup hummus\n- 1 cup shredded lettuce\n- 1 cup diced tomatoes\n- 1/2 cup tzatziki sauce","1. In a food processor, combine chickpeas, onion, garlic, cumin, coriander, baking powder, flour, salt, and pepper. Process until smooth.\n2. Form the mixture into small balls or patties.\n3. Heat oil in a skillet over medium heat and fry the falafel until golden brown.\n4. Spread hummus on each pita bread, add falafel, lettuce, and tomatoes. Drizzle with tzatziki sauce.\n5. Roll up and serve.","Serve with extra tzatziki sauce on the side.",1,,1,Mediterranean,#falafel,http://example.com/falafel-wrap
Beef Stroganoff,Hearty and creamy beef stroganoff with mushrooms.,4,20,30,"- 500g beef sirloin, thinly sliced\n- 1 onion, chopped\n- 2 cloves garlic, minced\n- 200g mushrooms, sliced\n- 1 cup beef broth\n- 1 cup sour cream\n- 2 tbsp flour\n- 2 tbsp butter\n- Salt and pepper to taste\n- Egg noodles or rice for serving","1. In a large skillet, melt the butter over medium heat. Add the onions and garlic, and cook until softened.\n2. Add the beef and cook until browned.\n3. Add the mushrooms and cook until tender.\n4. Stir in the flour and cook for 1 minute.\n5. Add the beef broth and bring to a boil.\n6. Reduce the heat and stir in the sour cream.\n7. Simmer for 10 minutes, or until the sauce has thickened.\n8. Serve over egg noodles or rice.","For a richer flavor, use heavy cream instead of sour cream.",1,,1,Russian,#beefstroganoff,http://example.com/beef-stroganoff
Pad Thai,Classic Thai stir-fried noodles with shrimp and peanuts.,4,20,10,"- 200g rice noodles\n- 200g shrimp, peeled and deveined\n- 2 eggs\n- 1 cup bean sprouts\n- 1/2 cup peanuts, crushed\n- 3 green onions, chopped\n- 1 lime, cut into wedges\n- 2 tbsp fish sauce\n- 2 tbsp tamarind paste\n- 2 tbsp brown sugar\n- 1 tbsp vegetable oil\n- 2 cloves garlic, minced","1. Soak the rice noodles in warm water for 20 minutes, then drain.\n2. In a small bowl, mix together the fish sauce, tamarind paste, and brown sugar.\n3. Heat the oil in a large wok over medium heat. Add the garlic and cook for 30 seconds.\n4. Add the shrimp and cook until pink.\n5. Push the shrimp to the side and crack the eggs into the wok. Scramble until cooked.\n6. Add the noodles and the fish sauce mixture. Toss to combine.\n7. Stir in the bean sprouts and green onions.\n8. Serve with peanuts and lime wedges.","Adjust the sweetness and tanginess to your preference.",1,,1,Thai,#padthai,http://example.com/pad-thai
Minestrone Soup,Hearty Italian vegetable soup with pasta.,6,15,30,"- 1 tbsp olive oil\n- 1 onion, chopped\n- 2 cloves garlic, minced\n- 2 carrots, chopped\n- 2 celery stalks, chopped\n- 1 zucchini, chopped\n- 1 can diced tomatoes\n- 1 can kidney beans, drained\n- 4 cups vegetable broth\n- 1 cup small pasta\n- Salt and pepper to taste\n- Fresh basil for garnish","1. Heat the oil in a large pot over medium heat. Add the onion and garlic, and cook until softened.\n2. Add the carrots, celery, and zucchini, and cook for 5 minutes.\n3. Stir in the diced tomatoes, kidney beans, and vegetable broth. Bring to a boil.\n4. Add the pasta and simmer for 15 minutes, or until the pasta is cooked.\n5. Season with salt and pepper.\n6. Garnish with fresh basil and serve.","Add some grated Parmesan cheese for extra flavor.",1,,1,Soup,#minestrone,http://example.com/minestrone-soup
Quiche Lorraine,Savory French quiche with bacon and cheese.,8,20,40,"- 1 pie crust\n- 200g bacon, chopped\n- 1 onion, chopped\n- 1 cup shredded Gruyere cheese\n- 1 cup milk\n- 1 cup heavy cream\n- 4 eggs\n- Salt and pepper to taste\n- 1/4 tsp ground nutmeg","1. Preheat the oven to 375°F (190°C).\n2. In a skillet, cook the bacon over medium heat until crisp. Remove and drain on paper towels.\n3. In the same skillet, cook the onion until softened.\n4. In a bowl, whisk together the milk, cream, eggs, salt, pepper, and nutmeg.\n5. Sprinkle the bacon, onion, and cheese evenly over the pie crust.\n6. Pour the egg mixture over the top.\n7. Bake for 40 minutes, or until the quiche is set and golden brown.\n8. Let cool slightly before serving.","Serve warm or at room temperature.",1,,1,French,#quichelorraine,http://example.com/quiche-lorraine
Fish Tacos,Fresh and flavorful fish tacos with cabbage slaw.,4,15,10,"- 500g white fish fillets\n- 1 tsp chili powder\n- 1 tsp cumin\n- 1/2 tsp paprika\n- Salt and pepper to taste\n- 8 small corn tortillas\n- 2 cups shredded cabbage\n- 1/2 cup sour cream\n- 1/4 cup mayonnaise\n- 1 tbsp lime juice\n- Fresh cilantro for garnish","1. Season the fish with chili powder, cumin, paprika, salt, and pepper.\n2. Heat a grill or skillet over medium heat and cook the fish until opaque and cooked through.\n3. In a bowl, mix together the cabbage, sour cream, mayonnaise, and lime juice.\n4. Warm the tortillas.\n5. Assemble the tacos by placing the fish on the tortillas and topping with the cabbage slaw.\n6. Garnish with fresh cilantro and serve.","Add some sliced avocado for extra creaminess.",1,,1,Mexican,#fishtacos,http://example.com/fish-tacos
Ratatouille,Classic French vegetable stew.,6,20,40,"- 1 eggplant, chopped\n- 1 zucchini, chopped\n- 1 bell pepper, chopped\n- 1 onion, chopped\n- 2 cloves garlic, minced\n- 4 tomatoes, chopped\n- 2 tbsp olive oil\n- Salt and pepper to taste\n- Fresh basil for garnish","1. Preheat the oven to 375°F (190°C).\n2. In a large ovenproof dish, layer the eggplant, zucchini, bell pepper, onion, garlic, and tomatoes.\n3. Drizzle with olive oil and season with salt and pepper.\n4. Cover with foil and bake for 40 minutes, or until the vegetables are tender.\n5. Remove the foil and bake for an additional 10 minutes to brown the top.\n6. Garnish with fresh basil and serve.","Serve with crusty bread or over rice.",1,,1,French,#ratatouille,http://example.com/ratatouille
Lentil Soup,Hearty and nutritious lentil soup.,6,15,45,"- 1 tbsp olive oil\n- 1 onion, chopped\n- 2 carrots, chopped\n- 2 celery stalks, chopped\n- 2 garlic cloves, minced\n- 1 tsp ground cumin\n- 1 tsp ground coriander\n- 1 cup lentils, rinsed\n- 6 cups vegetable broth\n- 1 can diced tomatoes\n- Salt and pepper to taste\n- Fresh parsley for garnish","1. Heat the olive oil in a large pot over medium heat. Add the onion, carrots, and celery and cook until softened.\n2. Add the garlic, cumin, and coriander and cook for another minute.\n3. Stir in the lentils, vegetable broth, and diced tomatoes.\n4. Bring to a boil, then reduce heat and simmer for 45 minutes, or until lentils are tender.\n5. Season with salt and pepper.\n6. Garnish with fresh parsley and serve.","Serve with crusty bread.",1,,1,Soup,#lentilsoup,http://example.com/lentil-soup
Chicken Parmesan,Breaded chicken breasts topped with marinara sauce and melted cheese.,4,20,25,"- 4 chicken breasts\n- 1 cup breadcrumbs\n- 1/2 cup grated Parmesan cheese\n- 1 tsp dried oregano\n- 1/2 cup flour\n- 2 eggs, beaten\n- 2 cups marinara sauce\n- 1 cup shredded mozzarella cheese\n- 2 tbsp olive oil\n- Salt and pepper to taste","1. Preheat oven to 375°F (190°C).\n2. Combine breadcrumbs, Parmesan cheese, and oregano in a shallow dish.\n3. Season flour with salt and pepper. Dredge chicken in flour, dip in beaten eggs, then coat with breadcrumb mixture.\n4. Heat olive oil in a large skillet over medium heat. Cook chicken until golden brown on both sides.\n5. Transfer chicken to a baking dish. Top with marinara sauce and mozzarella cheese.\n6. Bake for 25 minutes, or until chicken is cooked through and cheese is melted and bubbly.\n7. Serve with pasta or salad.","For extra flavor, add a sprinkle of fresh basil before serving.",1,,1,Italian,#chickenparmesan,http://example.com/chicken-parmesan
Shrimp Scampi,Quick and easy shrimp scampi with garlic and lemon.,4,10,10,"- 500g shrimp, peeled and deveined\n- 4 cloves garlic, minced\n- 1/4 cup white wine\n- 1/4 cup chicken broth\n- 1/4 cup lemon juice\n- 1/4 cup butter\n- 2 tbsp olive oil\n- 1/4 cup fresh parsley, chopped\n- Salt and pepper to taste\n- Cooked pasta or crusty bread for serving","1. Heat olive oil and butter in a large skillet over medium heat. Add garlic and cook for 1 minute.\n2. Add shrimp and cook until pink, about 2-3 minutes per side.\n3. Stir in white wine, chicken broth, and lemon juice. Bring to a simmer.\n4. Season with salt and pepper.\n5. Stir in fresh parsley.\n6. Serve over cooked pasta or with crusty bread.","Add red pepper flakes for a spicy kick.",1,,1,Seafood,#shrimpscampi,http://example.com/shrimp-scampi
Vegetable Lasagna,A delicious and healthy lasagna with layers of vegetables and cheese.,6,30,60,"- 9 lasagna noodles\n- 2 cups marinara sauce\n- 1 cup ricotta cheese\n- 1 egg\n- 2 cups shredded mozzarella cheese\n- 1 cup grated Parmesan cheese\n- 1 zucchini, thinly sliced\n- 1 eggplant, thinly sliced\n- 1 red bell pepper, chopped\n- 1 yellow bell pepper, chopped\n- 2 cups spinach\n- 2 cloves garlic, minced\n- 1 tbsp olive oil\n- Salt and pepper to taste","1. Preheat oven to 375°F (190°C).\n2. Cook lasagna noodles according to package instructions.\n3. In a bowl, mix ricotta cheese, egg, salt, and pepper.\n4. Heat olive oil in a skillet over medium heat. Add garlic and cook for 1 minute. Add zucchini, eggplant, bell peppers, and spinach. Cook until vegetables are tender.\n5. In a baking dish, spread a layer of marinara sauce. Place a layer of noodles on top, followed by a layer of ricotta mixture, vegetable mixture, and shredded mozzarella. Repeat layers, ending with a layer of noodles and marinara sauce.\n6. Top with grated Parmesan cheese.\n7. Cover with foil and bake for 40 minutes. Remove foil and bake for another 20 minutes, or until lasagna is bubbly and golden brown.\n8. Let cool for 10 minutes before serving.","Add some red pepper flakes for a spicy kick.",1,,1,Italian,#vegetablelasagna,http://example.com/vegetable-lasagna
Tuna Salad Sandwich,Classic tuna salad sandwich with celery and mayo.,2,10,0,"- 2 cans tuna, drained\n- 1/4 cup mayonnaise\n- 1 celery stalk, finely chopped\n- 1 tbsp lemon juice\n- Salt and pepper to taste\n- 4 slices bread\n- Lettuce leaves for serving","1. In a bowl, combine tuna, mayonnaise, celery, lemon juice, salt, and pepper.\n2. Mix until well combined.\n3. Spread tuna salad on two slices of bread.\n4. Top with lettuce leaves and remaining bread slices.\n5. Serve immediately.","Add some pickles or red onion for extra crunch.",1,,1,Sandwich,#tunasalad,http://example.com/tuna-salad-sandwich
Chicken Fajitas,Flavorful chicken fajitas with bell peppers and onions.,4,20,15,"- 500g chicken breasts, sliced\n- 2 bell peppers, sliced\n- 1 onion, sliced\n- 2 cloves garlic, minced\n- 2 tbsp olive oil\n- 1 tsp ground cumin\n- 1 tsp chili powder\n- 1/2 tsp paprika\n- Salt and pepper to taste\n- 8 flour tortillas\n- Toppings of choice (sour cream, guacamole, salsa)","1. Heat olive oil in a large skillet over medium heat. Add garlic and cook for 1 minute.\n2. Add chicken, cumin, chili powder, paprika, salt, and pepper. Cook until chicken is browned.\n3. Add bell peppers and onion. Cook until vegetables are tender.\n4. Warm tortillas.\n5. Assemble fajitas by placing chicken and vegetable mixture on tortillas and adding desired toppings.","Serve with lime wedges for extra flavor.",1,,1,Mexican,#chickenfajitas,http://example.com/chicken-fajitas
Eggplant Parmesan,Breaded and baked eggplant slices with marinara sauce and melted cheese.,4,30,25,"- 2 large eggplants, sliced\n- 1 cup breadcrumbs\n- 1/2 cup grated Parmesan cheese\n- 1 tsp dried oregano\n- 1/2 cup flour\n- 2 eggs, beaten\n- 2 cups marinara sauce\n- 1 cup shredded mozzarella cheese\n- 2 tbsp olive oil\n- Salt and pepper to taste","1. Preheat oven to 375°F (190°C).\n2. Combine breadcrumbs, Parmesan cheese, and oregano in a shallow dish.\n3. Season flour with salt and pepper. Dredge eggplant slices in flour, dip in beaten eggs, then coat with breadcrumb mixture.\n4. Heat olive oil in a large skillet over medium heat. Cook eggplant slices until golden brown on both sides.\n5. Transfer eggplant slices to a baking dish. Top with marinara sauce and mozzarella cheese.\n6. Bake for 25 minutes, or until cheese is melted and bubbly.\n7. Serve with pasta or salad.","For extra flavor, add fresh basil leaves before serving.",1,,1,Italian,#eggplantparmesan,http://example.com/eggplant-parmesan